ID;NAME;WHERE;ADDING1;ADDING2;ADDING3;ADDING4;ADDING5;ADDING6;ADDING7;ADDING8;ADDING9
0;beef;bread;;;;;;;;;
1;beef;bread;cheese;;;;;;;;
2;beef;bread;garlic sauce;;;;;;;;
3;beef;bread;herb sauce;;;;;;;;
4;beef;bread;tomatoes;;;;;;;;
5;beef;bread;fried eggplant;;;;;;;;
6;beef;bread;fried zuccihini;;;;;;;;
7;beef;bread;fried potatoes;;;;;;;;
8;beef;bread;hot sauce;;;;;;;;
9;beef;bread;chili powder;;;;;;;;
10;beef;bread;onions;;;;;;;;
11;beef;bread;cheese;garlic sauce;;;;;;;
12;beef;bread;cheese;herb sauce;;;;;;;
13;beef;bread;cheese;tomatoes;;;;;;;
14;beef;bread;cheese;fried eggplant;;;;;;;
15;beef;bread;cheese;fried zuccihini;;;;;;;
16;beef;bread;cheese;fried potatoes;;;;;;;
17;beef;bread;cheese;hot sauce;;;;;;;
18;beef;bread;cheese;chili powder;;;;;;;
19;beef;bread;cheese;onions;;;;;;;
20;beef;bread;garlic sauce;herb sauce;;;;;;;
21;beef;bread;garlic sauce;tomatoes;;;;;;;
22;beef;bread;garlic sauce;fried eggplant;;;;;;;
23;beef;bread;garlic sauce;fried zuccihini;;;;;;;
24;beef;bread;garlic sauce;fried potatoes;;;;;;;
25;beef;bread;garlic sauce;hot sauce;;;;;;;
26;beef;bread;garlic sauce;chili powder;;;;;;;
27;beef;bread;garlic sauce;onions;;;;;;;
28;beef;bread;herb sauce;tomatoes;;;;;;;
29;beef;bread;herb sauce;fried eggplant;;;;;;;
30;beef;bread;herb sauce;fried zuccihini;;;;;;;
31;beef;bread;herb sauce;fried potatoes;;;;;;;
32;beef;bread;herb sauce;hot sauce;;;;;;;
33;beef;bread;herb sauce;chili powder;;;;;;;
34;beef;bread;herb sauce;onions;;;;;;;
35;beef;bread;tomatoes;fried eggplant;;;;;;;
36;beef;bread;tomatoes;fried zuccihini;;;;;;;
37;beef;bread;tomatoes;fried potatoes;;;;;;;
38;beef;bread;tomatoes;hot sauce;;;;;;;
39;beef;bread;tomatoes;chili powder;;;;;;;
40;beef;bread;tomatoes;onions;;;;;;;
41;beef;bread;fried eggplant;fried zuccihini;;;;;;;
42;beef;bread;fried eggplant;fried potatoes;;;;;;;
43;beef;bread;fried eggplant;hot sauce;;;;;;;
44;beef;bread;fried eggplant;chili powder;;;;;;;
45;beef;bread;fried eggplant;onions;;;;;;;
46;beef;bread;fried zuccihini;fried potatoes;;;;;;;
47;beef;bread;fried zuccihini;hot sauce;;;;;;;
48;beef;bread;fried zuccihini;chili powder;;;;;;;
49;beef;bread;fried zuccihini;onions;;;;;;;
50;beef;bread;fried potatoes;hot sauce;;;;;;;
51;beef;bread;fried potatoes;chili powder;;;;;;;
52;beef;bread;fried potatoes;onions;;;;;;;
53;beef;bread;hot sauce;chili powder;;;;;;;
54;beef;bread;hot sauce;onions;;;;;;;
55;beef;bread;chili powder;onions;;;;;;;
